"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahrain","BHR","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.568","87.334","86.698","85.951","85.312","84.734","84.394","84.181","84.095","84.136","83.595","82.391","81.293","80.563","81.061","81.92","83.089","84.409","85.718","86.539","86.059","86.282","86.334","86.198","86.308","86.622","86.81","86.661","86.291","83.598","83.528","85.271","85.849","85.675","85.512",
"Bahamas, The","BHS","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.09","69.193","70.816","71.069","73.173","74.269","74.472","76.534","76.351","75.884","75.3","73.654","72.292","72.572","72.371","73.892","73.896","73.312","67.36","67.409","67.574","67.184","65.495","67.846","69.327","69.327","71.449","70.092","70.889","62.654","64.509","70.379","70.576","70.021","70.056",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.114","57.738","57.012","56.264","55.304","54.351","53.444","52.549","51.685","50.703","49.798","48.856","47.988","47.203","46.377","45.606","46.92","50.206","49.061","47.313","47.023","46.699","46.27","46.951","46.386","48.239","50.133","50.819","52.548","50.886","51.875","54.039","55.104","54.846","54.34",
"Belarus","BLR","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.973","64.124","59.749","56.52","52.771","46.926","52.336","54.498","55.403","56.242","57.015","57.725","58.407","59.104","59.831","60.631","61.469","62.478","63.534","64.068","64.566","64.985","65.282","65.499","65.646","65.79","66.341","67.699","67.725","67.95","67.817","68.361","67.982","67.527","67.024",
"Belize","BLZ","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.584","71.581","71.514","70.459","70.261","69.483","72.089","69.562","71.914","73.265","74.469","73.215","73.18","73.187","73.151","74.108","74.351","74.523","74.432","74.342","74.272","74.239","74.198","75.802","75.149","75.823","75.61","75.819","77.447","62.858","68.714","68.796","67.17","65.76","67.421",
"Bermuda","BMU","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.124","79.865","79.74","79.534","79.788","79.927","80.142","79.923","79.583","79.282","78.951","78.809","78.618","78.497","78.356","78.215","78.026","77.87","77.29","77.304","77.307","77.428","76.827","77.095","75.916","75.325","75.488","77.246","79.232","74.422","80.665","82.306","82.104","81.858","82.185",
"Brazil","BRA","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.501","79.8","79.834","78.919","78.011","75.542","75.625","74.445","73.728","73.269","72.786","73.04","72.335","73.39","73.276","73.418","73.302","73.973","73.18","72.894","72.479","71.988","71.951","71.597","70.233","67.927","66.735","66.841","67.373","62.709","65.128","68.161","68.284","69.483","69.755",
"Barbados","BRB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.846","59.78","59.242","62.021","63.845","65.915","67.004","69.213","69.665","70.073","69.674","69.213","68.423","69.555","70.209","69.697","70.325","69.654","66.814","65.881","66.334","64.874","64.589","61.673","62.181","64.525","64.297","64.571","62.096","59.493","59.259","65.179","65.037","64.778","64.555",
"Brunei Darussalam","BRN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.249","79.12","78.91","78.623","78.289","77.88","77.477","76.993","76.557","76.057","75.583","75.143","74.673","74.181","73.671","73.17","72.508","71.794","71.208","70.86","70.581","70.171","69.607","68.992","67.809","66.65","65.583","68.289","69.049","67.535","69.002","69.665","69.485","69.29","68.959",
"Bhutan","BTN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.242","82.926","82.535","82.163","81.736","81.274","80.776","80.234","79.502","78.351","77.192","76.013","74.919","73.488","72.016","71.89","71.455","71.257","71.095","70.183","70.216","64.253","69.629","68.464","68.616","68.202","67.755","67.31","69.577","68.874","69.953","68.84","70.434","70.023","69.889",
"Botswana","BWA","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.42","65.826","63.264","60.58","59.951","59.284","58.974","58.542","58.605","58.263","57.482","55.203","53.051","54.199","55.241","56.339","57.948","59.438","60.562","56.886","57.137","57.463","57.397","57.216","56.92","56.632","56.422","56.468","56.263","53.481","54.991","54.462","58.454","58.629","58.079",
